id,keywords,year,_labels,_logos,_mAdditionalNotes,_mAdditionalKeywords,_mNotesIntent,_mSigned,_mAdditionalTheme,_mNotesImageAndText,_mText,_mShow,_mTitle,_mStrategy,_mCulturalContext,_mTone,_mConcern,_mLetteringStyle,_mContains,_mMade
100B0001_DSC1820,"election,trump,assertive,humor,complaint",,"green, font, flag, product, grass",,,"nope, trump, tiny hands",,,,,Nope,"Trump's head and hands, meant to form the letter ""O""",Nope,complaint,,"assertive, humor","election, trump",block,collage,"collage, paper cut outs"
100B0001_DSC1821,"civil rights,gender equality,women's rights,trump,voice,assertive,determined,confidence",,"green, text, font, sign, poster",,,"voice, speak up, trump, pun, untrumpable",,,,UnTrump made from different colors,My voice is untrumpable,,UnTrumpable,confidence,pun,"assertive, determined","civil rights, gender equality, women's rights, trump, voice",block,collage,"collage, paper cut outs"
100B0001_DSC1822,"feminism,gender equality,women's rights,human rights,assertive,solidarity",,"text, font, handwriting, writing, line",,,"women's rights, human rights, equal rights",,,,,"Women's rights are human rights",,Human Rights,solidarity,,assertive,"feminism, gender equality, women's rights, human rights",hand-written,text,marker
100B0001_DSC1824,"climate,earth,environment,feminism,gender equality,women's rights,assertive,loving,solidarity",,"blue, green, font, circle, world",,,"women, w2o, ocean, planet, environment",,,,text written over painting of earth,W2O women working for oceans,earth,W2O,solidarity,famous protest slogan,"assertive, loving","climate, earth, environment, feminism, gender equality, women's rights","block, hand-written","text, drawing",paint
100B0001_DSC1825,"climate,earth,environment,social justice,assertive,determined,demand,encouragement",,"blue, cobalt blue, text, font, circle",,,"environment, climate change, social justice, earth",,,,,Environmental justice is social justice,,Environmental Justice,"demand, encouragement",,"assertive, determined","climate, earth, environment, social justice",block,text,paint
100B0001_DSC1827,"love,resistance,loving,determined,encouragement,solidarity",,"blue, text, font, art, calligraphy, handwriting, writing, area, graffiti",,,"great, America, inclusive",,,,,A Great America is an Inclusive America,pink heart ,Inclusive America,"encouragement, solidarity",things trump said,"loving, determined","love, resistance","decorative, hand-written","text, drawing",marker
100B0001_DSC1828,"black lives matter,civil rights,climate,earth,election,environment,feminism,gender equality,lgbtq,race,religion,reproductive rights,science,women's rights,trump,loving,encouragement,solidarity,call to action",,"text, font, poster, advertising, product",,,"why I march, equality, not my president, black lives matter, climate change",,,,Why I march located in the center of the poster with reasons surrounding the outside,"Why I March, equality for all, muslims, black lives matter, LGBTQ, climate chance, science, Planned Parenthood, women's rights, my daughters' futures,  human rights, not my president!!","american flag, heart",Why I March,"encouragement, solidarity, call to action","famous protest slogan (e.g. we shall overcome, black lives matter)",loving,"black lives matter, civil rights, climate, earth, election, environment, feminism, gender equality, lgbtq, race, religion, reproductive rights, science, women's rights, trump",block,"text, drawing","drawing, marker"
100B0001_DSC1829,"hate,love,trump,loving,encouragement,solidarity",,"blue, text, pink, purple, font",,,"love, hate, love not hate, make america great again",,,,"lettering in red, white and blue, hearts in glitter",Love not hate makes America great,hearts,Love Not Hate,"encouragement, solidarity",things trump said,loving,"hate, love, trump","block, decorative","text, drawing","drawing, paint"
100B0001_DSC1830,"civil rights,dreamers,immigration,migrant rights,assertive,rage,solidarity",,"text, font, sign, signage, brand",Amerika Serikat,,"immigration, illegal, flag, human rights",,,,,No human is illegal,american flag,No Human,solidarity,,"assertive, rage","civil rights, dreamers, immigration, migrant rights",block,"text, collage","print, paint"
100B0001_DSC1831,"civil rights,feminism,gender equality,islam,latino/a/x,race,resistance,humanity,assertive,determined,demand,solidarity,call to action",,"blue, text, font, area, line",,,"MLK Jr., humanity, we the people, speak up, come together",Dr. Kin quote,,,,"We the people. Hear our voice. ""There comes a time when silence is betrayal."" - Dr. King, Let's stop betraying each other and our own humanity","images of people of different races in red, white, and blue: woman in hijab, latina woman, black woman",Silence is Betrayal,"demand, solidarity, call to action","pop culture (e.g. princess leah, song lyrics, etc), famous protest slogan (e.g. we shall overcome, black lives matter), historic reference (e.g. witch hunts, founding fathers, slavery, etc.)?, quote","assertive, determined","civil rights, feminism, gender equality, islam, latino/a/x, race, resistance, humanity","typeface (imitative), block, decorative, hand-written","text, collage","marker, collage"
100B0001_DSC1832,"feminism,gender equality,women's rights,resistance,determined,encouragement,solidarity",,"pink, text, font, magenta, design",,,"resist, sister, community",,,,"re is written in silver, sister is written in black, the words can be read as both resister and sister",Resister,,ReSister,"encouragement, solidarity",,determined,"feminism, gender equality, women's rights, resistance","serif, hand-written",text,marker
100B0001_DSC1834,"civil rights,feminism,gender equality,women's rights,rage,determined,demand",,"blue, text, purple, font, handwriting",,,"equality, what do we want, when do we want it, protest",question/answer format of message,,,,What do we want? Equality. When do we want it? Now!,,Equality Now,demand,"famous protest slogan (e.g. we shall overcome, black lives matter)","rage, determined","civil rights, feminism, gender equality, women's rights","block, hand-written",text,marker
100B0001_DSC1835,"lgbtq,resistance,speak,determined,encouragement,call to action",,"text, font, banner, advertising, area",,,"resistance, speak up, contact everyone, LGBTQ, erasure",,,,,"Found... a powerful *resistance*, if this is yours contact everyone. Unerase LGBTQ History unearased.org",,Contact Everyone,"encouragement, call to action","historic reference (e.g. witch hunts, founding fathers, slavery, etc.)?",determined,"lgbtq, resistance, speak","typeface (imitative), block, cursive, hand-written","text, sticker","marker, sticker"
100B0001_DSC1836,"civil rights,feminism,gender equality,women's rights,determined,solidarity,call to action",,"blue, text, purple, font, calligraphy",,,"Beyonce, formation, march, venus symbol, lyrics","Beyonce, Formation",,,,"Okay ladies now let's get in formation","venus symbol with paw print, cat",Formation,"solidarity, call to action","pop culture (e.g. princess leah, song lyrics, etc)",determined,"civil rights, feminism, gender equality, women's rights",block,"text, drawing","drawing, marker"
100B0001_DSC1837,"climate,earth,environment,institutions/supreme court/political parties,science,trump,assertive,indignation,complaint,question",,"pink, text, font, poster, art",,the use of alternative meaning of trump,"greed, corporations, science, trump, pun",,,,,Greed trump science?,text,Greed,"complaint, question",things trump said,"assertive, indignation","climate, earth, environment, institutions/supreme court/political parties, science, trump","block, decorative",text,paint
100B0001_DSC1839,"institutions/supreme court/political parties,trump,insults,determined,demand",,"text, font, calligraphy, brand, product",,,"trump, hair, repeal, citizens united, corporations are not people",,,,"""fake hair"" written on Trump's head in bottom corner","Repeal Citizens United, fake hair","trump's head and hair ",Repeal Citizens United,demand,,"insults, determined","institutions/supreme court/political parties, trump",block,"text, drawing","drawing, marker"
100B0001_DSC1841,"feminism,gender equality,women's rights,human rights,assertive,solidarity",,"blue, text, font, number, area",,,"women's rights, human rights, venus symbol, equal sign, equality",,,,,"Women's rights are human rights","venus symbol, equal signs",Human Rights,solidarity,,assertive,"feminism, gender equality, women's rights, human rights",block,"text, drawing",paint
100B0001_DSC1842,"civil rights,immigration,migrant rights,refugees,rage,indignation,determined,complaint",,"text, pink, font, handwriting, line",,,"he no we won't go, protest, immigration, history","references 'hell no, we won't go'",,,words underlined for emphasis,"Hell No! We won't go back!",lines,"We Won't Go Back",complaint,famous protest slogan,"rage, indignation, determined","civil rights, immigration, migrant rights, refugees",hand-written,"text, drawing",marker
100B0001_DSC1843,"trump,insults,insult",,"text, font, design, drawing, product design",,,"trump, hands, tiny hands, baby hands, insults",,,,baby face in place of letter A,Trump has baby hands,baby face,Baby Hands,insult,"popular memes (viral content like lol cats), things trump said",insults,trump,block,"text, drawing","drawing, marker, paint"
100B0001_DSC1844,"lgbtq,assertive,demand,solidarity",,"font, poster, product design, art, graphics",,,"LGBTQ, gay rights, rainbow, equality",,,,center of A colored rainbow,Gay Rights,,Gay Rights,"demand, solidarity",,assertive,lgbtq,block,text,"marker, paint"
100B0001_DSC1846,"feminism,gender equality,women's rights,assertive,solidarity",,"pink, text, font, magenta, area",,,"women's rights, human rights, equality, pink",,,,,Womans rights are human rights,,Human Rights,solidarity,"famous protest slogan (e.g. we shall overcome, black lives matter)",assertive,"feminism, gender equality, women's rights","block, decorative",text,stencil
100B0001_DSC1848,"hate,country,assertive,complaint,solidarity",,"text, font, structure, design, drawing",,,"hate, america, country",,,,,Hate has no home in America,,No Home,"complaint, solidarity",,assertive,"hate, country",block,text,marker
100B0001_DSC1849,"feminism,gender equality,trump,assertive,solidarity",,"pink, text, font, magenta, banner",,,"pussy, pussy-grabber, trump, pink, super hero",,,,,Super heroes against pussy-grabbers,,Super Heroes,solidarity,things trump said,assertive,"feminism, gender equality, trump",hand-written,text,marker
